Observed	Predicted 
3.920000	2.496560
5.790000	4.285237
4.250000	5.599680
4.450000	5.591560
4.970000	4.654331
9.350000	9.222154
5.210000	4.325603
5.630000	7.068061
11.260000	13.785907
7.710000	6.772163
4.840000	3.875055
25.570000	25.481883
6.680000	5.152344
8.170000	9.932815
8.650000	8.153952
5.700000	7.554042
4.670000	5.389476
5.870000	7.155101
4.840000	0.919378
3.920000	3.805946
5.790000	5.876054
4.250000	5.172774
4.450000	5.847205
4.970000	4.897880
9.350000	9.287037
5.210000	4.182518
5.630000	6.415889
11.260000	13.397012
7.710000	5.475058
4.840000	4.925530
25.570000	24.538675
6.680000	3.991902
8.170000	9.996687
8.650000	9.795369
5.700000	5.969202
4.670000	5.078395
5.870000	6.467144
4.840000	4.406902
3.920000	4.858412
5.790000	5.724352
4.250000	4.466503
4.450000	5.426011
4.970000	6.271428
9.350000	9.113643
5.210000	4.535803
5.630000	6.133670
11.260000	10.712923
7.710000	6.023308
4.840000	6.961067
25.570000	20.385094
6.680000	5.693864
8.170000	8.711657
8.650000	7.214661
5.700000	6.102382
4.670000	5.054282
5.870000	6.200189
4.840000	6.058268
