Observed	Predicted 
16.000000	14.003063
10.000000	7.470324
8.000000	12.962711
5.000000	3.540776
6.000000	7.189868
10.000000	8.943305
9.000000	9.878919
9.000000	8.993053
8.000000	9.046473
4.000000	2.325623
8.000000	10.960970
12.000000	13.107056
19.000000	15.054099
32.000000	28.253855
26.000000	22.508112
2.000000	2.876773
2.000000	0.356987
24.000000	27.579526
33.000000	32.503825
16.000000	14.696929
10.000000	9.479217
8.000000	12.995868
5.000000	3.473250
6.000000	7.721850
10.000000	9.452279
9.000000	9.896940
9.000000	10.877935
8.000000	10.903831
4.000000	2.217599
8.000000	13.348994
12.000000	13.729797
19.000000	12.652306
32.000000	30.435922
26.000000	22.291817
2.000000	0.334174
2.000000	4.341948
24.000000	28.816595
33.000000	32.921590
16.000000	15.480357
10.000000	8.202821
8.000000	15.663873
5.000000	4.019765
6.000000	10.429106
10.000000	8.686965
9.000000	11.003444
9.000000	11.005020
8.000000	10.515415
4.000000	1.382183
8.000000	9.903394
12.000000	13.072595
19.000000	16.233298
32.000000	27.547637
26.000000	17.702847
2.000000	-0.597301
2.000000	2.171619
24.000000	24.911083
33.000000	33.521722
