Observed	Predicted 
3.920000	1.373319
5.790000	6.213174
4.250000	3.540617
4.450000	6.158062
4.970000	5.655366
9.350000	8.541983
5.210000	4.488286
5.630000	4.969156
11.260000	13.886128
7.710000	7.255372
4.840000	3.544097
25.570000	23.977904
6.680000	6.059945
8.170000	7.809070
8.650000	10.104800
5.700000	6.707949
4.670000	5.510767
5.870000	5.429179
4.840000	4.572358
3.920000	4.024225
5.790000	7.327931
4.250000	4.363147
4.450000	5.089184
4.970000	4.087222
9.350000	9.378600
5.210000	4.521865
5.630000	7.161964
11.260000	13.182478
7.710000	8.167885
4.840000	5.693953
25.570000	22.068880
6.680000	5.069181
8.170000	9.522287
8.650000	10.639154
5.700000	7.338405
4.670000	6.176857
5.870000	5.569045
4.840000	3.999809
3.920000	5.929539
5.790000	5.181872
4.250000	2.760213
4.450000	3.558405
4.970000	4.981907
9.350000	9.140113
5.210000	5.315201
5.630000	5.795043
11.260000	13.221538
7.710000	5.649531
4.840000	3.083444
25.570000	23.201515
6.680000	5.602679
8.170000	8.311412
8.650000	10.909473
5.700000	4.256100
4.670000	5.613978
5.870000	4.610046
4.840000	6.288386
