Observed	Predicted 
16.000000	15.250168
10.000000	9.971698
8.000000	9.139545
5.000000	5.799773
6.000000	6.909772
10.000000	9.410738
9.000000	8.074972
9.000000	8.189040
8.000000	7.806788
4.000000	2.975764
8.000000	8.359287
12.000000	12.241713
19.000000	18.921659
32.000000	31.748384
26.000000	25.664215
2.000000	1.851037
2.000000	1.021721
24.000000	24.413862
33.000000	33.915659
16.000000	15.181715
10.000000	10.049254
8.000000	8.521100
5.000000	5.279177
6.000000	7.566903
10.000000	10.519380
9.000000	8.048809
9.000000	9.434043
8.000000	7.730295
4.000000	4.314474
8.000000	7.636070
12.000000	11.898257
19.000000	18.399496
32.000000	32.782580
26.000000	24.857940
2.000000	1.573142
2.000000	3.008417
24.000000	24.756796
33.000000	32.530361
16.000000	15.643632
10.000000	9.433838
8.000000	8.169501
5.000000	3.718637
6.000000	6.651404
10.000000	10.308535
9.000000	8.837709
9.000000	9.924740
8.000000	8.793004
4.000000	4.244491
8.000000	8.510144
12.000000	12.632215
19.000000	19.073656
32.000000	32.410315
26.000000	26.053920
2.000000	2.007460
2.000000	1.457314
24.000000	23.174999
33.000000	32.200484
