Observed	Predicted 
53.000000	60.430498
56.000000	59.008614
62.000000	56.846310
69.000000	65.124797
63.000000	59.191534
55.000000	50.578207
53.000000	48.740713
65.000000	60.105261
56.000000	56.423841
65.000000	69.404460
55.000000	63.813835
45.000000	49.189658
29.000000	31.065808
26.000000	31.918703
27.000000	23.063640
91.000000	86.424944
93.000000	91.584536
57.000000	57.875805
38.000000	37.822480
53.000000	52.681181
56.000000	51.948785
62.000000	62.719828
69.000000	67.455280
63.000000	64.031594
55.000000	51.896911
53.000000	55.461847
65.000000	60.033296
56.000000	51.377758
65.000000	66.788439
55.000000	57.507520
45.000000	47.637576
29.000000	34.227167
26.000000	23.542538
27.000000	24.961726
91.000000	88.502829
93.000000	85.803644
57.000000	56.664410
38.000000	39.568390
53.000000	46.169447
56.000000	59.483874
62.000000	59.131875
69.000000	73.114592
63.000000	63.730043
55.000000	56.068570
53.000000	51.771400
65.000000	57.491737
56.000000	56.511520
65.000000	70.058896
55.000000	58.153920
45.000000	48.388235
29.000000	34.448313
26.000000	22.478625
27.000000	32.663234
91.000000	99.364779
93.000000	90.978781
57.000000	56.445600
38.000000	36.122194
