Observed	Predicted 
3.920000	2.490677
5.790000	6.998364
4.250000	4.146371
4.450000	5.456744
4.970000	4.371455
9.350000	9.953228
5.210000	5.132247
5.630000	4.486443
11.260000	14.768716
7.710000	7.840761
4.840000	3.605611
25.570000	23.978624
6.680000	4.838414
8.170000	8.007440
8.650000	10.148990
5.700000	6.566254
4.670000	6.227963
5.870000	5.741858
4.840000	3.843292
3.920000	3.715865
5.790000	6.936833
4.250000	4.486412
4.450000	3.071807
4.970000	3.478800
9.350000	9.269101
5.210000	5.356489
5.630000	6.376344
11.260000	14.551905
7.710000	7.283897
4.840000	4.968367
25.570000	22.443410
6.680000	7.741762
8.170000	7.544727
8.650000	10.171020
5.700000	6.151777
4.670000	5.543182
5.870000	5.041197
4.840000	4.449768
3.920000	5.747195
5.790000	5.459864
4.250000	4.625758
4.450000	3.635836
4.970000	4.807158
9.350000	9.827168
5.210000	4.379442
5.630000	6.579103
11.260000	11.693553
7.710000	6.219983
4.840000	2.705543
25.570000	22.325767
6.680000	5.921846
8.170000	8.832274
8.650000	11.377199
5.700000	4.354323
4.670000	5.464808
5.870000	6.016577
4.840000	5.430484
