Observed	Predicted 
16.000000	14.122561
10.000000	9.925920
8.000000	11.147183
5.000000	2.576803
6.000000	6.805405
10.000000	10.672780
9.000000	11.087191
9.000000	9.792895
8.000000	7.623964
4.000000	3.288810
8.000000	7.916055
12.000000	11.594397
19.000000	18.330243
32.000000	31.327251
26.000000	25.219847
2.000000	0.839686
2.000000	0.211911
24.000000	27.961828
33.000000	31.954859
16.000000	14.231558
10.000000	8.307363
8.000000	11.580160
5.000000	2.415123
6.000000	8.125505
10.000000	10.448879
9.000000	9.923413
9.000000	11.704090
8.000000	9.395118
4.000000	3.601504
8.000000	10.338331
12.000000	11.950732
19.000000	17.211670
32.000000	33.544372
26.000000	23.662939
2.000000	1.400151
2.000000	1.441254
24.000000	28.336647
33.000000	29.215125
16.000000	14.986642
10.000000	9.658946
8.000000	13.152603
5.000000	3.682586
6.000000	7.186132
10.000000	11.648420
9.000000	9.036003
9.000000	12.903987
8.000000	7.771412
4.000000	1.574948
8.000000	9.816834
12.000000	12.641310
19.000000	18.287466
32.000000	29.197134
26.000000	20.139762
2.000000	0.535971
2.000000	2.290347
24.000000	25.618108
33.000000	29.637864
