Observed	Predicted 
53.000000	53.931916
56.000000	57.459744
62.000000	62.116617
69.000000	65.668903
63.000000	60.648464
55.000000	48.195305
53.000000	41.442907
65.000000	51.701458
56.000000	59.109978
65.000000	68.027256
55.000000	62.638576
45.000000	52.099402
29.000000	30.322593
26.000000	31.047892
27.000000	29.130352
91.000000	86.186658
93.000000	94.843912
57.000000	46.541770
38.000000	35.462950
53.000000	54.040344
56.000000	56.276121
62.000000	62.195582
69.000000	64.381128
63.000000	64.534393
55.000000	45.282231
53.000000	46.688929
65.000000	55.441073
56.000000	55.363153
65.000000	71.761205
55.000000	59.390775
45.000000	52.176855
29.000000	36.470038
26.000000	23.269826
27.000000	29.667739
91.000000	84.935216
93.000000	88.944284
57.000000	48.891911
38.000000	40.694870
53.000000	53.434605
56.000000	60.314044
62.000000	61.395411
69.000000	66.476155
63.000000	63.605253
55.000000	50.623579
53.000000	46.067039
65.000000	51.152986
56.000000	64.550900
65.000000	74.135852
55.000000	62.651141
45.000000	56.718921
29.000000	38.123732
26.000000	29.208063
27.000000	37.885780
91.000000	93.094232
93.000000	92.238615
57.000000	50.003293
38.000000	45.338069
