Observed	Predicted 
3.920000	1.867841
5.790000	8.498189
4.250000	3.086200
4.450000	6.810846
4.970000	5.182609
9.350000	9.938662
5.210000	4.668035
5.630000	4.732524
11.260000	15.589708
7.710000	7.123540
4.840000	2.327158
25.570000	20.232457
6.680000	4.742593
8.170000	8.041928
8.650000	10.956369
5.700000	6.549245
4.670000	6.269809
5.870000	5.789771
4.840000	4.205550
3.920000	3.169079
5.790000	7.178763
4.250000	4.444024
4.450000	2.132859
4.970000	3.757858
9.350000	9.723053
5.210000	4.792930
5.630000	6.962793
11.260000	14.363821
7.710000	8.239241
4.840000	5.354530
25.570000	19.142897
6.680000	7.806107
8.170000	7.098865
8.650000	11.019090
5.700000	6.584204
4.670000	6.065359
5.870000	4.621703
4.840000	4.204186
3.920000	5.936441
5.790000	5.360049
4.250000	4.590968
4.450000	4.247627
4.970000	4.931174
9.350000	10.092940
5.210000	5.453063
5.630000	6.458263
11.260000	14.337038
7.710000	5.264257
4.840000	2.536916
25.570000	21.589444
6.680000	4.893307
8.170000	8.967345
8.650000	13.463958
5.700000	4.462290
4.670000	5.131836
5.870000	5.552675
4.840000	6.046010
