Observed	Predicted 
16.000000	14.461367
10.000000	10.035550
8.000000	10.825338
5.000000	4.640858
6.000000	8.684805
10.000000	10.497173
9.000000	9.466135
9.000000	11.175943
8.000000	8.994654
4.000000	3.391611
8.000000	9.339790
12.000000	10.981220
19.000000	21.317168
32.000000	29.184183
26.000000	25.634503
2.000000	2.314990
2.000000	1.536181
24.000000	27.467418
33.000000	32.066122
16.000000	14.284686
10.000000	9.136760
8.000000	11.429343
5.000000	2.903621
6.000000	6.581871
10.000000	11.016181
9.000000	8.865880
9.000000	11.648784
8.000000	9.146190
4.000000	2.019302
8.000000	10.207069
12.000000	11.470919
19.000000	17.099372
32.000000	31.866494
26.000000	24.115691
2.000000	-0.035985
2.000000	3.771900
24.000000	28.544304
33.000000	30.347525
16.000000	14.523513
10.000000	8.200338
8.000000	14.085338
5.000000	2.396266
6.000000	8.622162
10.000000	10.671962
9.000000	11.055648
9.000000	11.723892
8.000000	8.590477
4.000000	1.865849
8.000000	5.815357
12.000000	11.567231
19.000000	18.835145
32.000000	29.176396
26.000000	18.524910
2.000000	-1.102723
2.000000	1.829411
24.000000	25.643712
33.000000	30.540204
