Observed	Predicted 
53.000000	52.302522
56.000000	61.852786
62.000000	56.923506
69.000000	69.009243
63.000000	62.568015
55.000000	51.639448
53.000000	47.048865
65.000000	57.214936
56.000000	56.620394
65.000000	65.411835
55.000000	58.476622
45.000000	47.558660
29.000000	31.989871
26.000000	32.054095
27.000000	27.694935
91.000000	79.829070
93.000000	95.963015
57.000000	47.826158
38.000000	42.560659
53.000000	50.346982
56.000000	60.053576
62.000000	60.751923
69.000000	64.859585
63.000000	63.155855
55.000000	53.306504
53.000000	50.938587
65.000000	62.216264
56.000000	51.105292
65.000000	71.411531
55.000000	55.587105
45.000000	48.000311
29.000000	25.753807
26.000000	26.843580
27.000000	32.505664
91.000000	88.662551
93.000000	90.869805
57.000000	47.062247
38.000000	41.109404
53.000000	50.158329
56.000000	65.509092
62.000000	53.951484
69.000000	68.551270
63.000000	60.385402
55.000000	58.349429
53.000000	52.119471
65.000000	52.356002
56.000000	64.137524
65.000000	68.322884
55.000000	61.013546
45.000000	53.175009
29.000000	28.591873
26.000000	26.463076
27.000000	40.696109
91.000000	92.283210
93.000000	96.702863
57.000000	49.641628
38.000000	42.506589
