Observed	Predicted 
53.000000	53.141697
56.000000	60.799333
62.000000	60.012239
69.000000	66.761378
63.000000	59.934963
55.000000	52.132608
53.000000	50.219218
65.000000	53.151983
56.000000	58.486303
65.000000	64.313687
55.000000	59.712195
45.000000	47.734082
29.000000	28.547237
26.000000	31.893419
27.000000	28.792573
91.000000	82.781438
93.000000	96.502433
57.000000	45.871744
38.000000	39.642705
53.000000	51.364974
56.000000	58.831470
62.000000	63.313322
69.000000	62.800608
63.000000	63.349141
55.000000	51.019839
53.000000	53.929315
65.000000	58.539881
56.000000	54.296830
65.000000	69.287936
55.000000	57.458982
45.000000	45.989463
29.000000	30.084776
26.000000	24.864678
27.000000	30.589516
91.000000	88.607245
93.000000	92.120851
57.000000	47.696984
38.000000	40.905991
53.000000	51.534844
56.000000	64.738422
62.000000	57.148151
69.000000	66.779924
63.000000	60.399192
55.000000	57.457112
53.000000	50.603680
65.000000	51.348769
56.000000	63.486172
65.000000	67.295053
55.000000	59.606912
45.000000	53.722271
29.000000	31.839563
26.000000	27.876339
27.000000	40.213247
91.000000	93.662196
93.000000	99.482719
57.000000	48.194509
38.000000	43.127887
