Observed	Predicted 
3.920000	1.776392
5.790000	6.993167
4.250000	5.054540
4.450000	5.016291
4.970000	4.962495
9.350000	9.599418
5.210000	4.306031
5.630000	4.325903
11.260000	11.961858
7.710000	7.694214
4.840000	3.673925
25.570000	24.286061
6.680000	6.388314
8.170000	6.537766
8.650000	9.904816
5.700000	7.107952
4.670000	5.803404
5.870000	6.591153
4.840000	5.469455
3.920000	4.743970
5.790000	6.556189
4.250000	3.925846
4.450000	5.620083
4.970000	3.495666
9.350000	10.141182
5.210000	4.803041
5.630000	7.468278
11.260000	11.214837
7.710000	7.240327
4.840000	6.361761
25.570000	24.046310
6.680000	6.133100
8.170000	8.589203
8.650000	9.819119
5.700000	6.535725
4.670000	4.719956
5.870000	6.157800
4.840000	4.107197
3.920000	4.712461
5.790000	5.004077
4.250000	3.788829
4.450000	2.485208
4.970000	4.372876
9.350000	10.163091
5.210000	6.129345
5.630000	5.989456
11.260000	12.303579
7.710000	6.781544
4.840000	3.160942
25.570000	24.491860
6.680000	5.990214
8.170000	8.215724
8.650000	9.787181
5.700000	5.270169
4.670000	4.958320
5.870000	4.761312
4.840000	5.091063
