Observed	Predicted 
16.000000	15.033811
10.000000	9.641301
8.000000	9.748548
5.000000	4.833272
6.000000	6.864731
10.000000	9.681965
9.000000	8.556644
9.000000	8.428975
8.000000	8.022737
4.000000	3.757381
8.000000	7.989521
12.000000	12.169922
19.000000	19.625626
32.000000	31.341063
26.000000	25.628587
2.000000	1.239025
2.000000	1.842623
24.000000	25.150180
33.000000	32.926943
16.000000	16.275063
10.000000	9.612681
8.000000	9.163476
5.000000	4.705334
6.000000	7.768236
10.000000	10.609051
9.000000	8.562040
9.000000	9.298067
8.000000	7.785102
4.000000	3.766222
8.000000	8.152026
12.000000	11.961714
19.000000	18.903499
32.000000	31.276245
26.000000	26.505489
2.000000	0.897076
2.000000	2.956281
24.000000	23.550780
33.000000	32.875911
16.000000	15.688835
10.000000	8.652550
8.000000	9.426794
5.000000	4.167538
6.000000	5.523270
10.000000	11.095044
9.000000	8.983076
9.000000	9.855782
8.000000	7.260576
4.000000	4.516691
8.000000	8.275801
12.000000	11.891696
19.000000	19.632433
32.000000	32.141293
26.000000	27.521958
2.000000	0.933993
2.000000	1.733818
24.000000	23.541590
33.000000	31.050110
