Observed	Predicted 
53.000000	56.792047
56.000000	57.527268
62.000000	56.017844
69.000000	65.468413
63.000000	59.893692
55.000000	53.792976
53.000000	54.599575
65.000000	60.621411
56.000000	55.546793
65.000000	64.562248
55.000000	63.884956
45.000000	51.124942
29.000000	28.522172
26.000000	32.927471
27.000000	27.566412
91.000000	87.667135
93.000000	90.044915
57.000000	56.068978
38.000000	35.844257
53.000000	51.635225
56.000000	53.009579
62.000000	63.508074
69.000000	68.039208
63.000000	66.149155
55.000000	50.816671
53.000000	55.795083
65.000000	57.636402
56.000000	58.994291
65.000000	67.608177
55.000000	58.237618
45.000000	44.495555
29.000000	34.621552
26.000000	28.700051
27.000000	20.831348
91.000000	85.839600
93.000000	93.032350
57.000000	56.870070
38.000000	37.202351
53.000000	48.465069
56.000000	58.607975
62.000000	63.353013
69.000000	71.223306
63.000000	66.202137
55.000000	50.793811
53.000000	50.350197
65.000000	61.776504
56.000000	59.451647
65.000000	66.119822
55.000000	60.924333
45.000000	47.291754
29.000000	29.137933
26.000000	23.754850
27.000000	25.496703
91.000000	90.753008
93.000000	95.079228
57.000000	55.735020
38.000000	37.987825
