Lambda	b	b0	p	w
3415.860107	-17.963367	0.000040	0.110796	0.097862
3421.860107	-39.495457	0.000000	0.102691	0.027133
3427.860107	-21.544309	0.000000	0.106418	0.048361
3433.850098	-32.206632	0.000000	0.097831	0.019886
3439.820068	-20.288580	0.000000	0.097060	0.036660
3445.780029	-8.878316	0.000000	0.095111	0.039432
3451.729980	-26.411968	0.000000	0.086681	0.016001
3457.669922	-16.082205	0.000000	0.069816	0.024491
3463.600098	-15.512561	0.000000	0.074627	0.024368
3469.510010	-11.168550	0.000000	0.077813	0.025278
3475.409912	-12.717494	0.000000	0.074796	0.015107
3481.300049	-13.092183	0.000000	0.074648	0.012570
3487.179932	-8.457086	0.000000	0.081586	0.021401
3493.050049	-8.560314	0.000000	0.071426	0.017539
3498.899902	-11.339257	0.000000	0.074207	0.011497
3504.750000	1.329989	0.000000	0.066550	0.032615
3510.580078	-5.573455	0.000000	0.059155	0.017753
3516.399902	-0.970422	0.000000	0.058683	0.032791
3522.199951	-2.306758	0.000000	0.049610	0.030533
3528.000000	1.735225	0.000000	0.047435	0.035590
3533.780029	1.144871	0.000000	0.046759	0.033254
3539.550049	4.460660	0.000000	0.041494	0.035575
3545.310059	3.447857	0.000000	0.042080	0.035840
3551.050049	2.970066	0.000000	0.036701	0.035855
3556.780029	4.962149	0.000000	0.032058	0.037880
3562.500000	4.564800	0.000000	0.029949	0.040650
3568.209961	7.275642	0.000000	0.033442	0.046934
3573.909912	4.360661	0.000000	0.036370	0.043194
3579.590088	4.734644	0.000000	0.033061	0.048238
3585.260010	0.320015	0.000000	0.024307	0.044411
3590.919922	2.095834	0.000000	0.029589	0.046672
3596.570068	5.422958	0.000000	0.035228	0.049125
3602.199951	9.004884	0.000000	0.028750	0.055737
3607.820068	9.104858	0.000000	0.037483	0.057985
3613.429932	12.142578	0.000000	0.033964	0.061384
3619.030029	10.210846	0.000000	0.039488	0.057023
3624.610107	9.712634	0.000000	0.048442	0.056927
3630.179932	13.046672	0.000000	0.043825	0.060992
3635.739990	12.239084	0.000000	0.057994	0.063156
3641.280029	13.686272	0.000000	0.057008	0.064355
3646.820068	17.631159	0.000000	0.059754	0.075849
3652.340088	17.356589	0.000000	0.060517	0.073520
3657.840088	19.202992	0.000000	0.061347	0.076124
3663.340088	20.102729	0.000000	0.069417	0.071344
3668.820068	21.295779	0.000000	0.073284	0.070724
3674.290039	22.180154	0.000000	0.074810	0.068313
3679.739990	12.849980	0.000000	0.068995	0.044535
3685.179932	4.509879	0.000000	0.058838	0.024696
3690.610107	-4.273600	0.000000	0.045730	0.004911
3696.030029	-6.509425	0.000000	0.031112	-0.005957
3701.429932	-9.187972	0.000000	0.024442	-0.010344
3706.820068	-13.799500	0.000000	0.013540	-0.019763
3712.199951	-14.599215	0.000000	0.005855	-0.024380
3717.560059	-17.508386	0.000000	0.002596	-0.032479
3722.919922	-19.150384	0.000000	-0.002549	-0.038269
3728.250000	-16.911053	0.000000	-0.007441	-0.037203
3733.580078	-17.452133	0.000000	-0.010634	-0.040182
3738.889893	-18.410662	0.000000	-0.017560	-0.046232
3744.189941	-19.301655	0.000000	-0.017831	-0.052798
3749.469971	-18.753763	0.000000	-0.021417	-0.056833
3754.739990	-17.653652	0.000000	-0.030230	-0.060750
3760.000000	-18.737984	0.000000	-0.034275	-0.067808
3765.239990	-17.500587	0.000000	-0.042974	-0.070753
3770.469971	-12.972235	0.000000	-0.050621	-0.067430
3775.689941	-11.474800	0.000000	-0.055922	-0.064708
3780.899902	-10.294628	0.000000	-0.060548	-0.067202
3786.090088	-10.297062	0.000000	-0.070360	-0.070559
3791.260010	-6.802751	0.000000	-0.067312	-0.065855
3796.429932	-4.477349	0.000000	-0.069304	-0.063907
3801.580078	-5.263495	0.000000	-0.066158	-0.067802
3806.709961	-4.881069	0.000000	-0.078090	-0.069626
3811.840088	-4.249246	0.000000	-0.074742	-0.069620
3816.939941	-4.281176	0.000000	-0.080687	-0.076875
3822.040039	-3.176834	0.000000	-0.081035	-0.073329
3827.120117	-6.791074	0.000000	-0.084072	-0.080722
3832.189941	0.221666	0.000000	-0.076575	-0.073185
3837.239990	-1.311343	0.000000	-0.089592	-0.078212
3842.280029	4.742330	0.000000	-0.087191	-0.069600
3847.310059	8.127157	0.000000	-0.091178	-0.064885
3852.320068	7.955639	0.000000	-0.087473	-0.065248
3857.320068	4.915438	0.000000	-0.085522	-0.068744
3862.300049	6.500974	0.000000	-0.078447	-0.062135
