Lambda	b	b0	p	w
3415.860107	-87.181035	-0.000012	-0.055107	0.006207
3421.860107	-75.907180	0.000000	-0.055822	0.010491
3427.860107	-70.788821	0.000000	-0.039346	0.008897
3433.850098	-58.917130	0.000000	-0.035945	0.014400
3439.820068	-53.895613	0.000000	-0.031600	0.009245
3445.780029	-38.015993	0.000000	-0.021987	0.025972
3451.729980	-43.047827	0.000000	-0.021967	0.017261
3457.669922	-36.400805	0.000000	-0.030069	0.012136
3463.600098	-34.421698	0.000000	-0.022984	0.013325
3469.510010	-29.578053	0.000000	-0.015179	0.018698
3475.409912	-23.754054	0.000000	-0.005787	0.024545
3481.300049	-21.985394	0.000000	-0.006523	0.022141
3487.179932	-15.308133	0.000000	-0.005795	0.029372
3493.050049	-12.105315	0.000000	-0.002761	0.027487
3498.899902	-9.539748	0.000000	0.002105	0.029937
3504.750000	-4.386965	0.000000	0.000002	0.029291
3510.580078	-3.125480	0.000000	0.000287	0.025898
3516.399902	-0.710878	0.000000	-0.004477	0.025608
3522.199951	-0.722774	0.000000	-0.006894	0.022182
3528.000000	3.362569	0.000000	-0.000567	0.025617
3533.780029	6.994061	0.000000	0.004113	0.025140
3539.550049	12.750911	0.000000	0.007015	0.028239
3545.310059	14.465130	0.000000	0.008758	0.026648
3551.050049	16.177667	0.000000	0.007019	0.023169
3556.780029	18.338966	0.000000	0.006031	0.020215
3562.500000	17.848060	0.000000	0.002734	0.017818
3568.209961	19.181306	0.000000	0.008840	0.019665
3573.909912	15.334221	0.000000	0.014814	0.015303
3579.590088	12.895152	0.000000	0.012894	0.010306
3585.260010	9.195420	0.000000	0.006437	0.001018
3590.919922	11.804938	0.000000	0.011234	0.003074
3596.570068	13.623164	0.000000	0.014777	0.006468
3602.199951	18.435615	0.000000	0.012080	0.007543
3607.820068	17.857760	0.000000	0.013725	0.009462
3613.429932	17.311220	0.000000	0.013208	0.004703
3619.030029	17.094505	0.000000	0.020500	0.010020
3624.610107	16.397221	0.000000	0.029235	0.016156
3630.179932	16.759365	0.000000	0.029769	0.018151
3635.739990	14.853777	0.000000	0.039570	0.025545
3641.280029	9.133654	0.000000	0.029048	0.021234
3646.820068	8.479333	0.000000	0.027454	0.024976
3652.340088	2.133574	0.000000	0.017397	0.016376
3657.840088	1.586487	0.000000	0.018538	0.021888
3663.340088	0.879280	0.000000	0.022161	0.023688
3668.820068	-0.989391	0.000000	0.022210	0.025531
3674.290039	0.749487	0.000000	0.025579	0.028762
3679.739990	-2.054286	0.000000	0.028280	0.026378
3685.179932	-5.595832	0.000000	0.032613	0.022030
3690.610107	-7.862558	0.000000	0.030528	0.015341
3696.030029	-9.998699	0.000000	0.030567	0.010477
3701.429932	-14.308275	0.000000	0.023932	0.004396
3706.820068	-18.570416	0.000000	0.016573	-0.002529
3712.199951	-21.200954	0.000000	0.012681	-0.008527
3717.560059	-23.417403	0.000000	0.011305	-0.011044
3722.919922	-25.441599	0.000000	0.010344	-0.014386
3728.250000	-22.929040	0.000000	0.007600	-0.012936
3733.580078	-22.534567	0.000000	0.010106	-0.013058
3738.889893	-21.953542	0.000000	0.006597	-0.015141
3744.189941	-20.449621	0.000000	0.012243	-0.011916
3749.469971	-15.261960	0.000000	0.017827	-0.008862
3754.739990	-14.106110	0.000000	0.020506	-0.009495
3760.000000	-11.997381	0.000000	0.019436	-0.011451
3765.239990	-8.406872	0.000000	0.016407	-0.012176
3770.469971	-5.780892	0.000000	0.014452	-0.014348
3775.689941	-5.678523	0.000000	0.007289	-0.018484
3780.899902	-0.315805	0.000000	0.007183	-0.018259
3786.090088	-0.733550	0.000000	0.005381	-0.022823
3791.260010	1.876793	0.000000	0.007994	-0.019664
3796.429932	4.203657	0.000000	0.002694	-0.019067
