Lambda	b	b0	p	w
3415.860107	128.063847	-0.000106	-0.136141	-0.091307
3421.860107	170.127520	0.000000	-0.136044	-0.059498
3427.860107	133.968852	0.000000	-0.118653	-0.056045
3433.850098	125.857751	0.000000	-0.107545	-0.042310
3439.820068	102.803377	0.000000	-0.097484	-0.037929
3445.780029	64.869858	0.000000	-0.089002	-0.037244
3451.729980	122.894750	0.000000	-0.076278	-0.017883
3457.669922	74.733772	0.000000	-0.079049	-0.038785
3463.600098	72.300626	0.000000	-0.070174	-0.030641
3469.510010	60.064935	0.000000	-0.062399	-0.027217
3475.409912	59.411604	0.000000	-0.050468	-0.018471
3481.300049	71.413653	0.000000	-0.048447	-0.006747
3487.179932	29.244284	0.000000	-0.051845	-0.014875
3493.050049	31.342816	0.000000	-0.040872	-0.010067
3498.899902	29.221635	0.000000	-0.035280	-0.002657
3504.750000	-14.777776	0.000000	-0.035104	-0.015702
3510.580078	1.379279	0.000000	-0.028617	-0.008117
3516.399902	-36.901034	0.000000	-0.032778	-0.022572
3522.199951	-44.148405	0.000000	-0.033205	-0.026801
3528.000000	-48.574443	0.000000	-0.024668	-0.019581
3533.780029	-52.579926	0.000000	-0.016981	-0.009966
3539.550049	-76.551647	0.000000	-0.009856	-0.014595
3545.310059	-67.333990	0.000000	-0.005133	-0.003091
3551.050049	-88.764638	0.000000	-0.004236	-0.010414
3556.780029	-97.691340	0.000000	-0.004364	-0.009990
3562.500000	-100.934303	0.000000	-0.005504	-0.014492
3568.209961	-100.021473	0.000000	0.001183	-0.006075
3573.909912	-79.209045	0.000000	0.007430	0.005780
3579.590088	-82.481626	0.000000	0.008131	0.001407
3585.260010	-71.591587	0.000000	0.005502	-0.000247
3590.919922	-75.330167	0.000000	0.009623	0.010025
3596.570068	-89.865795	0.000000	0.008248	0.007675
3602.199951	-121.344817	0.000000	0.009686	-0.003639
3607.820068	-113.034581	0.000000	0.009989	-0.000438
3613.429932	-117.711010	0.000000	0.010918	-0.002853
3619.030029	-95.754017	0.000000	0.015860	0.008411
3624.610107	-79.794657	0.000000	0.021780	0.018611
3630.179932	-74.365620	0.000000	0.024072	0.013637
3635.739990	-62.107065	0.000000	0.029302	0.022147
3641.280029	-74.397185	0.000000	0.008627	0.000277
3646.820068	-91.950223	0.000000	0.004293	-0.015696
3652.340088	-78.517434	0.000000	-0.010473	-0.024022
3657.840088	-81.487869	0.000000	-0.014385	-0.033014
3663.340088	-65.937899	0.000000	-0.016266	-0.025885
3668.820068	-68.924999	0.000000	-0.021611	-0.034888
3674.290039	-59.506832	0.000000	-0.018046	-0.030438
3679.739990	-15.764330	0.000000	-0.013258	-0.018458
3685.179932	21.238833	0.000000	-0.006048	-0.004448
3690.610107	36.199372	0.000000	-0.004850	-0.001421
3696.030029	53.888582	0.000000	-0.002528	0.001929
3701.429932	56.606309	0.000000	-0.010945	-0.005231
3706.820068	70.943499	0.000000	-0.017354	-0.010653
3712.199951	76.121663	0.000000	-0.020272	-0.014591
3717.560059	89.801558	0.000000	-0.023261	-0.012014
3722.919922	96.398349	0.000000	-0.023900	-0.012200
3728.250000	83.935670	0.000000	-0.026980	-0.015809
3733.580078	92.162567	0.000000	-0.021742	-0.009412
3738.889893	89.239496	0.000000	-0.023150	-0.012811
3744.189941	98.475879	0.000000	-0.018375	-0.001599
3749.469971	95.146882	0.000000	-0.008625	0.006296
