Observed	Predicted 
3.920000	8.315191
5.790000	7.612512
4.250000	1.681056
4.450000	4.487061
4.970000	3.880368
9.350000	8.732460
5.210000	6.258612
5.630000	6.926185
11.260000	9.766714
7.710000	7.310820
4.840000	4.207437
25.570000	24.110203
6.680000	7.231237
8.170000	6.729872
8.650000	7.084210
5.700000	7.233509
4.670000	4.485529
5.870000	8.943995
4.840000	5.525509
3.920000	5.540812
5.790000	7.160949
4.250000	2.595844
4.450000	3.426186
4.970000	5.298820
9.350000	7.477082
5.210000	7.597934
5.630000	7.727592
11.260000	10.727579
7.710000	8.361859
4.840000	2.731267
25.570000	20.526257
6.680000	6.797202
8.170000	3.987886
8.650000	9.263528
5.700000	7.680386
4.670000	3.260293
5.870000	5.556268
4.840000	5.303552
3.920000	3.850212
5.790000	7.724326
4.250000	1.993468
4.450000	5.672655
4.970000	3.387918
9.350000	11.092700
5.210000	4.522919
5.630000	9.107455
11.260000	13.439827
7.710000	6.995082
4.840000	3.993061
25.570000	22.560128
6.680000	6.315107
8.170000	3.324975
8.650000	10.734024
5.700000	7.915660
4.670000	6.709658
5.870000	5.770350
4.840000	5.936702
