Observed	Predicted 
16.000000	14.638824
10.000000	13.292584
8.000000	10.067452
5.000000	1.473429
6.000000	4.835270
10.000000	6.582476
9.000000	13.870685
9.000000	13.755901
8.000000	6.738651
4.000000	4.815110
8.000000	13.097702
12.000000	11.605510
19.000000	17.942550
32.000000	26.664977
26.000000	22.182350
2.000000	1.258683
2.000000	4.803333
24.000000	22.094008
33.000000	33.951884
16.000000	12.585257
10.000000	12.946281
8.000000	7.234161
5.000000	0.872221
6.000000	9.074801
10.000000	13.625354
9.000000	8.731436
9.000000	13.690029
8.000000	9.790232
4.000000	5.219081
8.000000	13.087330
12.000000	9.167965
19.000000	20.460868
32.000000	26.209282
26.000000	22.736115
2.000000	3.764029
2.000000	3.111667
24.000000	23.335265
33.000000	36.960670
16.000000	14.602929
10.000000	11.332253
8.000000	5.879773
5.000000	0.059700
6.000000	6.152437
10.000000	9.030663
9.000000	16.698096
9.000000	12.628702
8.000000	6.684561
4.000000	1.736134
8.000000	11.310888
12.000000	9.093429
19.000000	17.990095
32.000000	24.536227
26.000000	22.269097
2.000000	2.155178
2.000000	2.281870
24.000000	24.066226
33.000000	34.218320
