Observed	Predicted 
3.920000	8.094033
5.790000	6.538301
4.250000	2.879471
4.450000	4.686165
4.970000	4.004317
9.350000	7.283641
5.210000	5.011595
5.630000	7.605429
11.260000	11.591237
7.710000	7.821963
4.840000	3.235624
25.570000	22.699910
6.680000	7.835113
8.170000	8.321350
8.650000	10.322771
5.700000	5.179030
4.670000	7.269343
5.870000	8.667499
4.840000	4.554115
3.920000	5.789730
5.790000	6.410031
4.250000	3.420873
4.450000	4.174428
4.970000	5.731060
9.350000	6.330155
5.210000	5.097219
5.630000	6.674156
11.260000	12.258245
7.710000	7.095518
4.840000	3.482576
25.570000	21.770191
6.680000	6.442100
8.170000	6.132323
8.650000	9.670588
5.700000	5.658712
4.670000	5.219224
5.870000	5.406208
4.840000	1.936256
3.920000	6.036931
5.790000	7.400590
4.250000	3.291926
4.450000	5.077627
4.970000	4.125294
9.350000	10.380148
5.210000	4.856267
5.630000	7.740553
11.260000	14.288068
7.710000	1.733588
4.840000	3.854655
25.570000	22.598185
6.680000	6.073910
8.170000	6.353675
8.650000	11.742392
5.700000	5.435080
4.670000	7.187667
5.870000	6.552200
4.840000	5.560740
