Observed	Predicted 
16.000000	14.678421
10.000000	10.692707
8.000000	10.103766
5.000000	4.805129
6.000000	7.586510
10.000000	7.301710
9.000000	9.535387
9.000000	9.708523
8.000000	6.692295
4.000000	5.046652
8.000000	8.415559
12.000000	14.038975
19.000000	19.759840
32.000000	31.372341
26.000000	22.553014
2.000000	0.130069
2.000000	3.449209
24.000000	25.498863
33.000000	30.366640
16.000000	13.161521
10.000000	10.201705
8.000000	9.199065
5.000000	4.180375
6.000000	9.245307
10.000000	11.370109
9.000000	9.686965
9.000000	8.891007
8.000000	8.770211
4.000000	5.591808
8.000000	9.591709
12.000000	12.153818
19.000000	19.573711
32.000000	30.372443
26.000000	25.949125
2.000000	-0.232898
2.000000	2.256012
24.000000	24.812622
33.000000	32.626082
16.000000	13.648344
10.000000	9.523578
8.000000	8.602551
5.000000	3.569390
6.000000	6.077446
10.000000	9.957265
9.000000	9.173622
9.000000	9.277344
8.000000	8.937397
4.000000	2.191947
8.000000	8.664985
12.000000	12.374500
19.000000	19.164573
32.000000	28.023641
26.000000	26.661515
2.000000	-0.063155
2.000000	1.709264
24.000000	27.625238
33.000000	34.744246
