Observed	Predicted 
53.000000	45.982779
56.000000	59.300971
62.000000	58.864794
69.000000	66.306778
63.000000	70.140582
55.000000	64.481596
53.000000	54.381642
65.000000	58.912055
56.000000	61.004848
65.000000	60.623779
55.000000	57.656829
45.000000	43.104923
29.000000	33.351839
26.000000	21.781028
27.000000	29.581050
91.000000	94.821753
93.000000	88.105624
57.000000	51.721905
38.000000	39.636048
53.000000	55.523060
56.000000	58.437559
62.000000	64.546963
69.000000	68.166299
63.000000	57.642977
55.000000	58.726267
53.000000	54.184423
65.000000	58.718287
56.000000	53.385642
65.000000	59.885467
55.000000	54.994399
45.000000	46.003711
29.000000	34.262799
26.000000	27.230700
27.000000	29.398403
91.000000	89.848284
93.000000	95.977044
57.000000	58.166167
38.000000	36.436586
53.000000	48.077057
56.000000	57.955280
62.000000	62.244038
69.000000	69.098710
63.000000	63.093784
55.000000	57.988713
53.000000	55.881321
65.000000	55.055868
56.000000	50.558562
65.000000	63.485819
55.000000	56.954015
45.000000	44.257128
29.000000	34.927643
26.000000	30.882094
27.000000	25.675412
91.000000	94.875392
93.000000	90.015891
57.000000	50.221960
38.000000	41.455457
