Observed	Predicted 
3.920000	6.957712
5.790000	6.796803
4.250000	2.909257
4.450000	4.534127
4.970000	4.143839
9.350000	11.452004
5.210000	5.479112
5.630000	8.367157
11.260000	10.448434
7.710000	8.000163
4.840000	3.638593
25.570000	21.407098
6.680000	8.035822
8.170000	7.469888
8.650000	9.965229
5.700000	4.688509
4.670000	6.468173
5.870000	8.174897
4.840000	5.664197
3.920000	6.218484
5.790000	7.040532
4.250000	3.134921
4.450000	3.707195
4.970000	4.956879
9.350000	7.020744
5.210000	3.694705
5.630000	7.486859
11.260000	10.347471
7.710000	7.686150
4.840000	3.658060
25.570000	19.832426
6.680000	7.150350
8.170000	4.748285
8.650000	9.495518
5.700000	5.516393
4.670000	5.449697
5.870000	4.864916
4.840000	4.205181
3.920000	5.340996
5.790000	7.648101
4.250000	2.078441
4.450000	6.018300
4.970000	3.823271
9.350000	12.558974
5.210000	6.497608
5.630000	9.142020
11.260000	15.544722
7.710000	0.300575
4.840000	6.090496
25.570000	21.422787
6.680000	6.205808
8.170000	5.283174
8.650000	11.390713
5.700000	5.043966
4.670000	6.619945
5.870000	5.389665
4.840000	5.374657
