Observed	Predicted 
16.000000	13.448515
10.000000	11.063367
8.000000	10.220697
5.000000	4.839433
6.000000	9.093568
10.000000	10.596495
9.000000	11.560249
9.000000	9.690240
8.000000	7.139965
4.000000	5.929001
8.000000	11.486017
12.000000	13.358395
19.000000	18.450085
32.000000	27.038664
26.000000	19.787179
2.000000	-0.230601
2.000000	2.668260
24.000000	25.853578
33.000000	31.153962
16.000000	12.756680
10.000000	10.781939
8.000000	9.053697
5.000000	3.502033
6.000000	8.732324
10.000000	11.405605
9.000000	10.105626
9.000000	8.575794
8.000000	7.894713
4.000000	6.791957
8.000000	11.811452
12.000000	10.099769
19.000000	19.582405
32.000000	26.529937
26.000000	24.919876
2.000000	-1.286446
2.000000	2.899580
24.000000	25.652745
33.000000	35.577243
16.000000	11.079148
10.000000	9.624413
8.000000	8.554021
5.000000	4.542413
6.000000	5.800144
10.000000	11.980968
9.000000	11.907752
9.000000	10.137437
8.000000	11.312382
4.000000	0.144449
8.000000	12.340612
12.000000	11.392385
19.000000	18.915712
32.000000	25.405508
26.000000	24.722357
2.000000	0.160797
2.000000	-1.035449
24.000000	28.192072
33.000000	35.288880
