Observed	Predicted 
53.000000	49.654795
56.000000	56.205793
62.000000	61.513843
69.000000	67.813922
63.000000	62.597276
55.000000	51.797425
53.000000	49.157577
65.000000	60.436022
56.000000	58.500171
65.000000	63.093367
55.000000	54.440997
45.000000	46.091812
29.000000	34.596060
26.000000	30.873885
27.000000	34.363040
91.000000	98.033065
93.000000	91.608369
57.000000	48.864884
38.000000	37.041300
53.000000	54.807296
56.000000	56.548089
62.000000	65.147158
69.000000	71.510643
63.000000	54.477820
55.000000	57.245439
53.000000	52.483671
65.000000	63.174326
56.000000	58.770299
65.000000	60.828657
55.000000	53.052152
45.000000	51.658574
29.000000	33.434722
26.000000	35.988226
27.000000	26.450244
91.000000	96.738925
93.000000	90.373268
57.000000	55.437831
38.000000	32.805354
53.000000	52.997494
56.000000	56.053778
62.000000	65.092743
69.000000	68.054014
63.000000	62.915766
55.000000	47.788826
53.000000	48.381747
65.000000	57.931635
56.000000	49.384184
65.000000	72.840738
55.000000	51.927260
45.000000	48.623551
29.000000	34.278285
26.000000	33.441489
27.000000	26.857117
91.000000	93.292191
93.000000	90.477777
57.000000	45.600897
38.000000	40.444211
