Observed	Predicted 
3.920000	6.566715
5.790000	6.659264
4.250000	3.878435
4.450000	5.603265
4.970000	3.556679
9.350000	9.981469
5.210000	7.053426
5.630000	8.095834
11.260000	14.787647
7.710000	7.899309
4.840000	7.720419
25.570000	11.565924
6.680000	8.592053
8.170000	6.406226
8.650000	12.945207
5.700000	8.283419
4.670000	7.140584
5.870000	5.645285
4.840000	6.089561
3.920000	4.600305
5.790000	5.936874
4.250000	3.813516
4.450000	5.010468
4.970000	8.069450
9.350000	5.704972
5.210000	9.173705
5.630000	8.298042
11.260000	14.307974
7.710000	6.301090
4.840000	7.011588
25.570000	12.865603
6.680000	7.099615
8.170000	4.591813
8.650000	6.569259
5.700000	7.742527
4.670000	7.865897
5.870000	3.792017
4.840000	4.737849
3.920000	4.168654
5.790000	6.220034
4.250000	3.207650
4.450000	5.556513
4.970000	4.964928
9.350000	9.019275
5.210000	5.422357
5.630000	9.274671
11.260000	17.714326
7.710000	2.642971
4.840000	8.952771
25.570000	13.479719
6.680000	6.459475
8.170000	5.197655
8.650000	8.865059
5.700000	8.982148
4.670000	5.319125
5.870000	3.441946
4.840000	1.737437
