Observed	Predicted 
16.000000	12.615474
10.000000	12.089409
8.000000	10.157650
5.000000	3.207673
6.000000	4.829327
10.000000	6.572231
9.000000	9.380350
9.000000	12.505408
8.000000	7.538100
4.000000	8.426352
8.000000	15.940665
12.000000	9.488148
19.000000	19.989396
32.000000	24.314722
26.000000	26.060708
2.000000	1.901942
2.000000	5.691374
24.000000	19.102647
33.000000	38.715865
16.000000	11.405041
10.000000	11.982144
8.000000	8.597446
5.000000	1.976912
6.000000	8.467684
10.000000	13.694258
9.000000	6.646919
9.000000	10.844969
8.000000	10.277344
4.000000	9.765132
8.000000	16.704429
12.000000	8.244301
19.000000	21.350512
32.000000	21.717480
26.000000	20.063104
2.000000	3.186150
2.000000	3.775534
24.000000	18.554019
33.000000	39.789554
16.000000	9.405030
10.000000	10.814856
8.000000	8.939307
5.000000	3.128537
6.000000	5.446341
10.000000	7.783867
9.000000	9.866137
9.000000	11.287079
8.000000	12.172461
4.000000	5.502071
8.000000	17.500786
12.000000	9.261245
19.000000	19.433565
32.000000	24.308219
26.000000	21.932114
2.000000	2.987498
2.000000	-1.801822
24.000000	19.313707
33.000000	36.148630
