Observed	Predicted 
53.000000	50.976928
56.000000	53.815905
62.000000	64.036777
69.000000	69.777748
63.000000	61.088354
55.000000	54.360291
53.000000	50.339060
65.000000	62.101145
56.000000	53.184198
65.000000	63.506927
55.000000	56.328940
45.000000	47.497060
29.000000	31.319230
26.000000	29.533923
27.000000	24.591004
91.000000	91.984540
93.000000	100.409149
57.000000	50.120351
38.000000	36.908419
53.000000	52.789436
56.000000	55.414353
62.000000	64.389924
69.000000	72.665045
63.000000	57.101825
55.000000	59.199852
53.000000	55.487786
65.000000	62.815745
56.000000	56.115075
65.000000	59.302627
55.000000	52.683067
45.000000	51.111069
29.000000	32.729330
26.000000	33.924076
27.000000	28.139633
91.000000	88.649065
93.000000	96.534952
57.000000	54.398990
38.000000	38.231945
53.000000	50.847546
56.000000	56.062142
62.000000	62.766204
69.000000	72.958181
63.000000	67.213369
55.000000	50.470091
53.000000	47.192458
65.000000	61.136403
56.000000	53.716244
65.000000	63.278940
55.000000	52.553404
45.000000	50.976849
29.000000	35.233436
26.000000	30.458998
27.000000	28.813563
91.000000	87.805951
93.000000	94.153163
57.000000	46.451781
38.000000	38.347534
