Observed	Predicted 
53.000000	51.329604
56.000000	56.003597
62.000000	61.306669
69.000000	68.863450
63.000000	62.461129
55.000000	57.492654
53.000000	50.254931
65.000000	59.407414
56.000000	58.554784
65.000000	61.718329
55.000000	55.570351
45.000000	45.041361
29.000000	31.517116
26.000000	33.422839
27.000000	28.457871
91.000000	96.502392
93.000000	95.774619
57.000000	49.605761
38.000000	34.917666
53.000000	55.793375
56.000000	55.971265
62.000000	65.908547
69.000000	71.655681
63.000000	53.597720
55.000000	53.960600
53.000000	54.093184
65.000000	62.796308
56.000000	59.020385
65.000000	56.328663
55.000000	55.441417
45.000000	50.864847
29.000000	30.654495
26.000000	38.776879
27.000000	26.977789
91.000000	90.864074
93.000000	96.066278
57.000000	55.492837
38.000000	32.977547
53.000000	54.214206
56.000000	55.077021
62.000000	65.109283
69.000000	66.745259
63.000000	61.259641
55.000000	50.564249
53.000000	49.430190
65.000000	57.566491
56.000000	50.447399
65.000000	67.243062
55.000000	55.694952
45.000000	47.495687
29.000000	33.980032
26.000000	37.086422
27.000000	26.938387
91.000000	90.460240
93.000000	93.029843
57.000000	46.544945
38.000000	39.668261
