Observed	Predicted 
3.920000	8.458735
5.790000	6.002010
4.250000	3.190510
4.450000	5.550219
4.970000	2.054895
9.350000	9.338024
5.210000	4.459785
5.630000	10.017254
11.260000	10.884055
7.710000	8.025788
4.840000	6.094386
25.570000	19.933415
6.680000	10.438882
8.170000	8.129387
8.650000	11.590206
5.700000	4.420877
4.670000	4.927040
5.870000	6.077022
4.840000	5.839865
3.920000	5.591311
5.790000	6.089978
4.250000	2.602534
4.450000	5.203382
4.970000	6.084385
9.350000	4.614632
5.210000	4.241780
5.630000	10.027885
11.260000	12.420904
7.710000	6.379999
4.840000	6.377529
25.570000	19.038391
6.680000	8.489506
8.170000	7.743018
8.650000	9.226170
5.700000	5.575365
4.670000	2.877636
5.870000	2.963822
4.840000	3.038395
3.920000	6.517277
5.790000	6.968520
4.250000	2.358688
4.450000	5.133946
4.970000	5.369872
9.350000	10.571771
5.210000	4.706222
5.630000	10.108832
11.260000	14.174552
7.710000	3.627556
4.840000	6.648964
25.570000	19.360580
6.680000	8.276515
8.170000	7.439400
8.650000	11.877913
5.700000	4.804262
4.670000	4.518614
5.870000	4.238804
4.840000	1.868734
