Observed	Predicted 
16.000000	14.201959
10.000000	9.503551
8.000000	10.865229
5.000000	5.545677
6.000000	4.589009
10.000000	8.455820
9.000000	8.436836
9.000000	11.911464
8.000000	5.219105
4.000000	6.438396
8.000000	10.138465
12.000000	14.586198
19.000000	20.182185
32.000000	30.735152
26.000000	22.027373
2.000000	0.042753
2.000000	3.145992
24.000000	24.206446
33.000000	32.901956
16.000000	12.658283
10.000000	9.363683
8.000000	9.592999
5.000000	4.533843
6.000000	8.243475
10.000000	11.218083
9.000000	8.031565
9.000000	10.633138
8.000000	8.179883
4.000000	6.182169
8.000000	10.600361
12.000000	13.025963
19.000000	20.637668
32.000000	28.914605
26.000000	24.016681
2.000000	0.709809
2.000000	0.705538
24.000000	23.734537
33.000000	35.491877
16.000000	13.362865
10.000000	8.951098
8.000000	8.560991
5.000000	4.581366
6.000000	6.781579
10.000000	8.922119
9.000000	8.403438
9.000000	10.891798
8.000000	8.567314
4.000000	4.021242
8.000000	9.907915
12.000000	13.937157
19.000000	19.324918
32.000000	27.616178
26.000000	26.759084
2.000000	-1.478299
2.000000	1.309960
24.000000	25.756128
33.000000	33.215424
