Observed	Predicted 
53.000000	47.606443
56.000000	59.202065
62.000000	58.502865
69.000000	65.980127
63.000000	73.392152
55.000000	58.582108
53.000000	56.670951
65.000000	55.168574
56.000000	59.787050
65.000000	63.280516
55.000000	59.824891
45.000000	41.168796
29.000000	38.884941
26.000000	21.054333
27.000000	34.107251
91.000000	92.430564
93.000000	86.197228
57.000000	48.870597
38.000000	34.793235
53.000000	54.336011
56.000000	58.818586
62.000000	61.171442
69.000000	66.972294
63.000000	66.447986
55.000000	52.740796
53.000000	58.005030
65.000000	53.845276
56.000000	51.665454
65.000000	63.426251
55.000000	57.001992
45.000000	41.248942
29.000000	39.178774
26.000000	27.159610
27.000000	33.128846
91.000000	86.924831
93.000000	96.324048
57.000000	54.446343
38.000000	33.835139
53.000000	49.759928
56.000000	61.103333
62.000000	61.726688
69.000000	71.438642
63.000000	65.384156
55.000000	55.622977
53.000000	56.733855
65.000000	52.784231
56.000000	51.897196
65.000000	67.993497
55.000000	59.152999
45.000000	41.679270
29.000000	41.064193
26.000000	29.228875
27.000000	27.572146
91.000000	94.973722
93.000000	86.960003
57.000000	48.540092
38.000000	38.201858
