Lambda	VIP
6469.510254	0.000011
6528.000000	0.000021
61253.800781	0.000028
61834.898437	0.000031
61609.699219	0.000032
61980.898437	0.000037
51843.500000	0.000046
61697.398437	0.000084
6463.600098	0.000094
6906.529785	0.000129
61968.800781	0.000136
62087.199219	0.000160
61500.699219	0.000178
61139.898437	0.000202
51839.199219	0.000225
61553.199219	0.000262
62024.800781	0.000272
61403.601562	0.000274
61769.300781	0.000309
61715.500000	0.000328
61534.199219	0.000372
62052.300781	0.000416
61586.300781	0.000458
61274.101562	0.000467
61187.000000	0.000471
61786.898437	0.000475
6487.180176	0.000478
51830.601562	0.000531
61269.000000	0.000540
62028.699219	0.000561
61633.000000	0.000568
61646.898437	0.000608
61964.699219	0.000643
61976.800781	0.000669
6822.040039	0.000689
61936.101562	0.000692
6801.580078	0.000726
62063.898437	0.000727
61572.101562	0.000729
61670.000000	0.000739
62048.398437	0.000745
61442.699219	0.000760
61452.398437	0.000767
5796.430176	0.000778
61359.199219	0.000817
61324.398437	0.000833
61548.500000	0.000851
61956.601562	0.000901
6722.919922	0.000904
5786.089844	0.000923
52056.199219	0.000937
61720.000000	0.000964
5935.370117	0.000970
61299.300781	0.000976
6940.129883	0.000993
61595.699219	0.001026
6806.709961	0.001053
6765.239746	0.001065
5837.239746	0.001078
61289.199219	0.001087
61706.500000	0.001088
62140.699219	0.001092
62201.398437	0.001105
61145.199219	0.001111
61972.800781	0.001133
6744.189941	0.001150
62004.898437	0.001189
6457.669922	0.001190
6556.779785	0.001194
6791.260254	0.001224
6963.700195	0.001260
6852.319824	0.001282
6701.430176	0.001308
5791.260254	0.001322
61364.101562	0.001402
61996.898437	0.001404
61944.300781	0.001409
6533.779785	0.001421
62133.101562	0.001433
62114.000000	0.001461
6630.180176	0.001475
61447.500000	0.001484
6562.500000	0.001506
61886.101562	0.001531
31755.900391	0.001538
61711.000000	0.001538
61192.199219	0.001545
61558.000000	0.001555
62117.898437	0.001558
62110.199219	0.001564
62032.699219	0.001566
61911.199219	0.001573
61960.601562	0.001659
61129.300781	0.001667
51826.199219	0.001668
61984.898437	0.001672
6539.549805	0.001682
51289.199219	0.001709
6944.870117	0.001734
6786.089844	0.001801
61940.199219	0.001802
6925.810059	0.001823
61344.300781	0.001825
51778.101562	0.001833
61804.500000	0.001834
6921.010254	0.001835
61701.898437	0.001858
6935.370117	0.001868
62036.601562	0.001887
61279.101562	0.001887
61830.601562	0.001922
61724.601562	0.001927
61839.199219	0.001928
62020.800781	0.001987
61869.101562	0.001999
61314.300781	0.002011
6896.799805	0.002018
62000.898437	0.002030
62079.398437	0.002065
61309.300781	0.002082
6796.430176	0.002094
6596.569824	0.002109
6916.200195	0.002112
51294.300781	0.002115
61729.101562	0.002141
52052.300781	0.002164
61515.101562	0.002175
61988.898437	0.002180
62094.898437	0.002198
61992.898437	0.002211
61637.699219	0.002231
61134.601562	0.002241
62125.500000	0.002246
6760.000000	0.002270
6901.669922	0.002309
62056.199219	0.002325
61388.800781	0.002333
61294.300781	0.002356
6754.739746	0.002379
6911.370117	0.002392
61374.000000	0.002405
61238.500000	0.002439
51238.500000	0.002447
6619.029785	0.002459
61591.000000	0.002505
6954.310059	0.002546
61665.398437	0.002569
51738.101562	0.002605
61952.500000	0.002641
62012.898437	0.002660
61284.199219	0.002668
6635.739746	0.002672
6475.410156	0.002726
61263.898437	0.002754
61619.101562	0.002852
61651.500000	0.002873
6415.859863	0.002929
61304.300781	0.002984
6862.299805	0.002988
61543.699219	0.003007
6657.839844	0.003014
61751.500000	0.003018
61369.101562	0.003047
61228.300781	0.003074
62060.101562	0.003094
61258.898437	0.003136
62129.300781	0.003159
61319.398437	0.003202
6545.310059	0.003372
62121.699219	0.003407
61476.601562	0.003415
6877.169922	0.003540
61864.898437	0.003547
61218.000000	0.003567
52125.500000	0.003569
52044.398437	0.003574
61948.398437	0.003576
62098.699219	0.003614
6493.049805	0.003618
61817.601562	0.003647
61223.101562	0.003693
61524.699219	0.003778
6516.399902	0.003789
52048.398437	0.003808
61642.300781	0.003814
6827.120117	0.003832
61505.500000	0.003856
61813.199219	0.003873
61334.300781	0.003897
61486.300781	0.003968
51309.300781	0.003974
6882.100098	0.003984
62106.398437	0.003989
6481.299805	0.004001
6607.819824	0.004082
6749.470215	0.004083
61181.800781	0.004093
6579.589844	0.004119
6510.580078	0.004141
6585.260254	0.004152
62075.601562	0.004179
61567.398437	0.004217
61614.398437	0.004239
6602.200195	0.004277
61791.300781	0.004283
6613.430176	0.004297
61248.699219	0.004305
5811.839844	0.004309
61800.101562	0.004309
61529.398437	0.004394
61656.199219	0.004428
5944.870117	0.004478
61581.601562	0.004521
61539.000000	0.004547
52114.000000	0.004566
62071.699219	0.004585
6590.919922	0.004609
62044.398437	0.004618
61782.500000	0.004708
62136.898437	0.004709
6738.890137	0.004726
61495.898437	0.004727
61379.000000	0.004738
6770.470215	0.004770
62008.898437	0.004825
61329.300781	0.004837
62091.000000	0.004850
51683.699219	0.004861
6668.819824	0.004872
61692.800781	0.004910
62083.300781	0.004951
62152.101562	0.005146
51614.398437	0.005150
6717.560059	0.005208
6959.010254	0.005365
6973.020020	0.005391
61881.898437	0.005405
61176.601562	0.005452
61852.101562	0.005462
61233.398437	0.005462
6867.270020	0.005463
61856.398437	0.005487
61519.898437	0.005501
61243.601562	0.005520
61202.500000	0.005572
62067.800781	0.005588
61197.398437	0.005592
61600.398437	0.005643
6728.250000	0.005645
61628.398437	0.005654
62102.500000	0.005698
61339.300781	0.005739
6652.339844	0.005751
62144.500000	0.005752
6780.899902	0.005756
61688.300781	0.005767
6816.939941	0.005774
6551.049805	0.005782
