Lambda	VIP
61124.000000	0.000032
61706.500000	0.000065
5842.279785	0.000066
61309.300781	0.000073
61679.101562	0.000076
61466.898437	0.000079
62098.699219	0.000088
6528.000000	0.000093
61877.601562	0.000102
61791.300781	0.000118
61683.699219	0.000121
62004.898437	0.000129
6590.919922	0.000215
61834.898437	0.000228
6921.010254	0.000271
61354.199219	0.000276
61646.898437	0.000283
62186.199219	0.000309
61860.601562	0.000334
61314.300781	0.000339
61633.000000	0.000344
61911.199219	0.000394
62032.699219	0.000432
61486.300781	0.000438
61181.800781	0.000438
61197.398437	0.000440
61665.398437	0.000458
61944.300781	0.000476
61289.199219	0.000510
61688.300781	0.000511
6877.169922	0.000542
61344.300781	0.000561
6801.580078	0.000578
61129.300781	0.000589
62036.601562	0.000589
61881.898437	0.000626
61984.898437	0.000690
61804.500000	0.000702
6568.209961	0.000713
61800.101562	0.000713
61956.601562	0.000737
61567.398437	0.000737
61931.898437	0.000738
61572.101562	0.000739
61248.699219	0.000742
61747.000000	0.000774
61269.000000	0.000814
61992.898437	0.000824
61940.199219	0.000826
61462.101562	0.000873
61139.898437	0.000901
61274.101562	0.000909
61383.898437	0.000911
61976.800781	0.000915
51279.101562	0.000975
6635.739746	0.001002
6827.120117	0.001006
61113.398437	0.001026
51623.699219	0.001084
6427.859863	0.001115
61581.601562	0.001116
61839.199219	0.001135
61192.199219	0.001156
62071.699219	0.001163
61852.101562	0.001182
61553.199219	0.001223
6551.049805	0.001234
61539.000000	0.001237
62083.300781	0.001247
61936.101562	0.001249
62020.800781	0.001251
61238.500000	0.001263
61369.101562	0.001263
62056.199219	0.001275
61279.101562	0.001304
6925.810059	0.001322
61817.601562	0.001343
61591.000000	0.001352
61500.699219	0.001383
6906.529785	0.001397
61764.800781	0.001399
62044.398437	0.001417
61968.800781	0.001419
62125.500000	0.001419
61481.398437	0.001436
61619.101562	0.001461
61674.500000	0.001510
61729.101562	0.001512
61869.101562	0.001540
61733.601562	0.001606
61711.000000	0.001617
61742.500000	0.001633
61960.601562	0.001636
62121.699219	0.001672
62079.398437	0.001729
61187.000000	0.001795
62012.898437	0.001796
62163.500000	0.001811
61964.699219	0.001849
62114.000000	0.001897
61769.300781	0.001928
62144.500000	0.001937
61786.898437	0.001967
61284.199219	0.001971
61651.500000	0.002009
61263.898437	0.002065
61324.398437	0.002067
61720.000000	0.002091
61738.101562	0.002093
51852.101562	0.002108
6806.709961	0.002113
51600.398437	0.002154
61697.398437	0.002215
6516.399902	0.002245
51733.601562	0.002267
61471.800781	0.002286
61886.101562	0.002290
6619.029785	0.002325
61701.898437	0.002347
61782.500000	0.002373
61319.398437	0.002425
61349.300781	0.002447
6738.890137	0.002456
61813.199219	0.002476
51881.898437	0.002478
61258.898437	0.002516
61364.101562	0.002518
61642.300781	0.002612
61171.398437	0.002633
62028.699219	0.002645
61374.000000	0.002667
51856.398437	0.002719
61670.000000	0.002727
61304.300781	0.002801
61202.500000	0.002812
61843.500000	0.002822
6872.229980	0.002833
61692.800781	0.002849
62060.101562	0.002876
61894.500000	0.002908
61233.398437	0.002944
61176.601562	0.002956
51155.699219	0.002991
62075.601562	0.002992
62008.898437	0.003015
61329.300781	0.003032
61795.699219	0.003049
61228.300781	0.003049
61534.199219	0.003064
51729.101562	0.003100
5935.370117	0.003153
6765.239746	0.003169
61145.199219	0.003182
61830.601562	0.003214
