Lambda	VIP
61586.300781	0.000019
61628.398437	0.000071
61637.699219	0.000104
61562.699219	0.000116
61253.800781	0.000120
6906.529785	0.000121
62102.500000	0.000146
61491.101562	0.000160
61000.601562	0.000167
61218.000000	0.000178
62094.898437	0.000187
61591.000000	0.000201
6847.310059	0.000202
61706.500000	0.000228
61319.398437	0.000239
61786.898437	0.000279
62032.699219	0.000308
61697.398437	0.000310
6811.839844	0.000314
6451.729980	0.000325
6944.870117	0.000339
6822.040039	0.000342
61660.800781	0.000348
61581.601562	0.000367
61791.300781	0.000394
62063.898437	0.000396
62110.199219	0.000432
61403.601562	0.000439
61534.199219	0.000458
62079.398437	0.000458
61495.898437	0.000463
61500.699219	0.000528
6760.000000	0.000558
62028.699219	0.000579
61339.300781	0.000580
61187.000000	0.000580
61864.898437	0.000582
61984.898437	0.000593
61614.398437	0.000599
61860.601562	0.000617
6528.000000	0.000632
6679.739746	0.000633
62012.898437	0.000644
61548.500000	0.000645
61980.898437	0.000652
6837.239746	0.000657
6791.260254	0.000676
61447.500000	0.000695
6568.209961	0.000697
62020.800781	0.000732
6754.739746	0.000750
61515.101562	0.000757
61553.199219	0.000768
61529.398437	0.000771
61192.199219	0.000795
61134.601562	0.000813
61274.101562	0.000825
62044.398437	0.000838
61600.398437	0.000840
51642.300781	0.000849
61129.300781	0.000893
62098.699219	0.000893
61988.898437	0.000898
61334.300781	0.000924
62052.300781	0.000930
61633.000000	0.000957
6613.430176	0.000975
61996.898437	0.000979
6551.049805	0.001018
61160.898437	0.001046
6921.010254	0.001051
61486.300781	0.001082
51510.300781	0.001090
62106.398437	0.001096
61843.500000	0.001100
61972.800781	0.001107
61665.398437	0.001113
61817.601562	0.001138
51238.500000	0.001158
61289.199219	0.001161
61118.699219	0.001190
62114.000000	0.001208
61324.398437	0.001227
62091.000000	0.001235
61294.300781	0.001235
6816.939941	0.001271
6427.859863	0.001271
61834.898437	0.001283
61701.898437	0.001287
61769.300781	0.001295
61519.898437	0.001296
51505.500000	0.001305
6641.279785	0.001317
62174.898437	0.001327
62140.699219	0.001334
61576.898437	0.001346
51279.101562	0.001355
61139.898437	0.001363
6663.339844	0.001370
6827.120117	0.001380
62067.800781	0.001392
6872.229980	0.001401
61166.199219	0.001402
61299.300781	0.001409
6891.910156	0.001438
5439.819824	0.001449
62060.101562	0.001452
61543.699219	0.001454
6786.089844	0.001455
62024.800781	0.001458
61839.199219	0.001483
51633.000000	0.001492
6806.709961	0.001497
61539.000000	0.001500
51134.601562	0.001501
61890.300781	0.001519
6882.100098	0.001540
61279.101562	0.001540
61329.300781	0.001546
61830.601562	0.001591
5770.470215	0.001593
6940.129883	0.001599
51139.898437	0.001599
62133.101562	0.001605
6877.169922	0.001608
61976.800781	0.001620
6857.319824	0.001630
6954.310059	0.001659
6624.609863	0.001663
6579.589844	0.001666
6780.899902	0.001675
61670.000000	0.001680
61619.101562	0.001682
61751.500000	0.001711
61778.101562	0.001748
6916.200195	0.001752
6982.290039	0.001759
51304.300781	0.001764
61510.300781	0.001767
51778.101562	0.001772
61269.000000	0.001781
62036.601562	0.001787
6573.910156	0.001789
62008.898437	0.001793
62000.898437	0.001819
61609.699219	0.001831
61724.601562	0.001842
51628.398437	0.001854
62004.898437	0.001879
61931.898437	0.001892
61595.699219	0.001892
61656.199219	0.001907
61688.300781	0.001915
61773.699219	0.001930
6533.779785	0.001943
61992.898437	0.001964
62040.500000	0.001969
62056.199219	0.001999
62148.300781	0.002032
6765.239746	0.002074
62125.500000	0.002104
61720.000000	0.002108
61150.398437	0.002121
61711.000000	0.002155
61145.199219	0.002166
61505.500000	0.002175
61223.101562	0.002222
61623.699219	0.002224
62121.699219	0.002227
6522.200195	0.002241
62016.898437	0.002252
6852.319824	0.002273
61524.699219	0.002277
62048.398437	0.002277
6925.810059	0.002285
6706.819824	0.002287
61572.101562	0.002296
61804.500000	0.002308
61481.398437	0.002350
51129.300781	0.002357
61960.601562	0.002366
61821.898437	0.002380
61344.300781	0.002380
61558.000000	0.002407
51600.398437	0.002412
61442.699219	0.002426
6545.310059	0.002521
6775.689941	0.002556
61826.199219	0.002575
61228.300781	0.002599
61009.699219	0.002609
61747.000000	0.002626
62129.300781	0.002644
6415.859863	0.002673
61692.800781	0.002673
52032.699219	0.002674
61314.300781	0.002681
61674.500000	0.002697
62075.601562	0.002705
61813.199219	0.002705
62136.898437	0.002713
61956.601562	0.002714
61567.398437	0.002714
61873.398437	0.002735
61197.398437	0.002765
61800.101562	0.002783
62163.500000	0.002809
61964.699219	0.002812
6475.410156	0.002854
61364.101562	0.002875
6712.200195	0.002889
6887.010254	0.002898
51976.800781	0.002942
61284.199219	0.002947
6717.560059	0.002951
6935.370117	0.002991
6590.919922	0.002991
6421.859863	0.003001
6493.049805	0.003009
61238.500000	0.003012
61243.601562	0.003013
61374.000000	0.003017
61155.699219	0.003054
61856.398437	0.003080
61795.699219	0.003091
61248.699219	0.003121
61715.500000	0.003135
61181.800781	0.003161
5624.609863	0.003245
6770.470215	0.003249
61764.800781	0.003266
61171.398437	0.003360
62167.300781	0.003363
6433.850098	0.003386
62087.199219	0.003397
62117.898437	0.003422
61847.800781	0.003577
61258.898437	0.003578
61642.300781	0.003694
6749.470215	0.003708
61212.800781	0.003709
61782.500000	0.003751
61968.800781	0.003775
62083.300781	0.003778
61369.101562	0.003790
61683.699219	0.003795
5749.470215	0.003796
6867.270020	0.003810
6539.549805	0.003856
61309.300781	0.003867
6722.919922	0.003868
61233.398437	0.003913
61679.101562	0.004013
62152.101562	0.004037
6469.510254	0.004179
61349.300781	0.004201
6744.189941	0.004207
61808.898437	0.004244
62144.500000	0.004265
6510.580078	0.004268
61869.101562	0.004290
51145.199219	0.004297
6911.370117	0.004304
6504.750000	0.004321
51834.898437	0.004323
5545.310059	0.004347
6635.739746	0.004418
6630.180176	0.004429
61304.300781	0.004453
6963.700195	0.004456
52036.601562	0.004456
51972.800781	0.004637
61393.800781	0.004638
6796.430176	0.004650
61729.101562	0.004662
61418.300781	0.004671
6562.500000	0.004699
6657.839844	0.004724
61646.898437	0.004836
6646.819824	0.004872
61263.898437	0.004997
51683.699219	0.005005
5469.510254	0.005007
52028.699219	0.005022
51637.699219	0.005043
6738.890137	0.005074
61605.101562	0.005104
61852.101562	0.005164
61202.500000	0.005196
51847.800781	0.005213
61354.199219	0.005269
6996.080078	0.005274
61877.601562	0.005285
61359.199219	0.005315
61755.898437	0.005320
61651.500000	0.005364
6668.819824	0.005388
61176.601562	0.005407
62071.699219	0.005430
6619.029785	0.005448
51176.601562	0.005478
5668.819824	0.005498
61886.101562	0.005540
6556.779785	0.005604
6498.899902	0.005667
6968.370117	0.005742
6516.399902	0.005795
61452.398437	0.005855
61742.500000	0.005882
6674.290039	0.005892
6842.279785	0.005897
6896.799805	0.005917
6439.819824	0.005927
61476.601562	0.005960
5551.049805	0.006046
61005.199219	0.006060
6728.250000	0.006107
51764.800781	0.006133
61760.398437	0.006135
51839.199219	0.006149
51821.898437	0.006214
61952.500000	0.006253
62171.101562	0.006326
6701.430176	0.006574
62186.199219	0.006729
5930.600098	0.006754
61379.000000	0.006836
61124.000000	0.006988
61113.398437	0.006990
61207.699219	0.007009
6463.600098	0.007047
61881.898437	0.007048
61911.199219	0.007164
51269.000000	0.007167
51515.101562	0.007189
6801.580078	0.007202
6487.180176	0.007244
5959.010254	0.007254
6596.569824	0.007310
6862.299805	0.007316
6832.189941	0.007482
61936.101562	0.007549
61738.101562	0.007557
51481.398437	0.007793
61388.800781	0.007828
6977.660156	0.007831
6973.020020	0.007840
6930.600098	0.007887
51782.500000	0.007907
6652.339844	0.008009
6585.260254	0.008052
5630.180176	0.008097
51773.699219	0.008258
61733.601562	0.008352
6901.669922	0.008492
6949.600098	0.008576
6733.580078	0.008705
51813.199219	0.008806
51968.800781	0.008811
5607.819824	0.008971
51769.300781	0.009160
61940.199219	0.009248
51274.101562	0.009285
6685.180176	0.009373
61948.398437	0.009430
51817.601562	0.009475
51843.500000	0.009641
51576.898437	0.009692
62190.000000	0.009717
6959.010254	0.009828
51486.300781	0.009850
5801.580078	0.009924
61398.699219	0.009935
51233.398437	0.009993
61097.300781	0.010055
51284.199219	0.010081
61014.199219	0.010236
6481.299805	0.010239
6457.669922	0.010247
51113.398437	0.010446
51500.699219	0.010665
61944.300781	0.010733
51623.699219	0.010751
61471.800781	0.010872
6696.029785	0.010993
5516.399902	0.011024
51988.898437	0.011047
5475.410156	0.011093
61457.300781	0.011115
5906.529785	0.011195
6445.779785	0.011331
51299.300781	0.011347
61081.199219	0.011491
62178.601562	0.011536
62155.898437	0.011580
5765.239746	0.011691
51984.898437	0.012080
51263.898437	0.012146
6607.819824	0.012280
51491.101562	0.012332
51495.898437	0.012377
62182.398437	0.012379
61907.000000	0.012620
61462.101562	0.012744
61102.699219	0.012897
6690.609863	0.012901
62159.699219	0.012916
51202.500000	0.012928
51539.000000	0.012943
5760.000000	0.012994
61466.898437	0.013107
61383.898437	0.013249
51572.101562	0.013293
52020.800781	0.013651
51534.199219	0.013663
5973.020020	0.013823
61437.800781	0.013873
62201.398437	0.013978
61894.500000	0.014007
61927.800781	0.014017
5949.600098	0.014025
51877.601562	0.014111
51150.398437	0.014257
52044.398437	0.014319
52024.800781	0.014373
5433.850098	0.014393
51964.699219	0.014430
51519.898437	0.014563
51595.699219	0.014566
51873.398437	0.014757
51243.601562	0.014845
5652.339844	0.015069
6602.200195	0.015449
5556.779785	0.015505
51738.101562	0.015515
6986.899902	0.015637
51688.300781	0.015763
52040.500000	0.015943
51605.101562	0.016123
51692.800781	0.016183
51207.699219	0.016218
62193.800781	0.016468
51980.898437	0.016493
51830.601562	0.016628
5901.669922	0.016976
51706.500000	0.016982
6991.500000	0.017206
5754.739746	0.017272
61413.398437	0.017350
61408.500000	0.017407
51791.300781	0.017433
52048.398437	0.017461
51646.898437	0.017559
51808.898437	0.018032
51294.300781	0.018092
5539.549805	0.018595
51786.898437	0.018637
51543.699219	0.018648
51289.199219	0.018710
51524.699219	0.019018
51476.601562	0.019269
5940.129883	0.019520
52152.101562	0.019555
51760.398437	0.019743
5744.189941	0.020221
51711.000000	0.020579
51171.398437	0.020733
51529.398437	0.021041
51826.199219	0.021073
5916.200195	0.021524
5415.859863	0.021596
51581.601562	0.021683
61092.000000	0.021946
51009.699219	0.022125
51586.300781	0.022583
62197.601562	0.022638
51124.000000	0.022719
51548.500000	0.023266
51309.300781	0.023395
51996.898437	0.023604
51992.898437	0.023613
52016.898437	0.023628
51619.101562	0.023688
5935.370117	0.024069
61902.898437	0.024271
51960.601562	0.024389
5510.580078	0.024865
51197.398437	0.024966
51181.800781	0.024995
61898.699219	0.025070
51591.000000	0.025076
51795.699219	0.025176
31715.500000	0.025927
51697.398437	0.026015
5657.839844	0.026344
61923.699219	0.026399
5911.370117	0.026478
5481.299805	0.026769
61108.101562	0.026780
51228.300781	0.027000
51553.199219	0.027151
5674.290039	0.027348
51339.300781	0.027409
5921.010254	0.027664
5619.029785	0.027786
61915.398437	0.028064
5663.339844	0.028313
5775.689941	0.028430
5463.600098	0.028589
52000.898437	0.028623
51898.699219	0.028886
51679.101562	0.029074
51701.898437	0.029159
51733.601562	0.029358
52008.898437	0.029420
51567.398437	0.029441
52012.898437	0.029454
51334.300781	0.029862
5780.899902	0.029944
51614.398437	0.029957
51852.101562	0.030180
5857.319824	0.030625
61086.601562	0.030878
52125.500000	0.031183
52052.300781	0.031686
51609.699219	0.031874
5738.890137	0.032120
51192.199219	0.032138
51804.500000	0.032177
5827.120117	0.032699
61432.898437	0.032738
5786.089844	0.033007
51919.500000	0.033462
61423.199219	0.033479
51558.000000	0.033790
5816.939941	0.033869
5796.430176	0.033888
52056.199219	0.033951
51956.601562	0.033952
51187.000000	0.034049
52121.699219	0.034057
51155.699219	0.034407
5685.180176	0.034458
52004.898437	0.034792
51258.898437	0.034868
5811.839844	0.035476
61919.500000	0.035551
52067.800781	0.035936
51248.699219	0.037514
51329.300781	0.037614
51344.300781	0.038025
5522.200195	0.038083
51562.699219	0.038159
5427.859863	0.038756
52060.101562	0.038758
51800.101562	0.038956
52148.300781	0.038985
5504.750000	0.039197
51223.101562	0.039250
5421.859863	0.039331
31720.000000	0.039447
5690.609863	0.039610
52063.898437	0.039778
51166.199219	0.039940
5533.779785	0.040341
51674.500000	0.040359
52201.398437	0.040432
5806.709961	0.040606
51715.500000	0.041096
5822.040039	0.041198
5528.000000	0.041594
5968.370117	0.041594
51651.500000	0.041954
61428.101562	0.042255
5635.739746	0.042285
51212.800781	0.042694
31886.099609	0.043462
51253.800781	0.043505
5791.260254	0.043695
5954.310059	0.044394
51160.898437	0.044417
5944.870117	0.044544
4944.870117	0.045242
52129.300781	0.045856
5862.299805	0.045866
5562.500000	0.046288
51324.398437	0.046523
5977.660156	0.046667
5925.810059	0.046996
51314.300781	0.047178
5963.700195	0.047184
52144.500000	0.047350
51869.101562	0.047897
5991.500000	0.047974
52102.500000	0.048150
51856.398437	0.048151
51218.000000	0.048459
5613.430176	0.048703
51349.300781	0.049510
52094.898437	0.049747
51665.398437	0.049791
